org_id,site_id,fuel_month,fuel_type,quantity,unit,source_document
ORG001,ORG001-TNN,2025-04,diesel,545,liter,fuel-ORG001-TNN-2025-04-diesel
ORG001,ORG001-TNN,2025-04,natural_gas,1160,m3,fuel-ORG001-TNN-2025-04-ng
ORG001,ORG001-TNN,2025-05,diesel,560,liter,fuel-ORG001-TNN-2025-05-diesel
ORG001,ORG001-TNN,2025-05,natural_gas,1200,m3,fuel-ORG001-TNN-2025-05-ng
ORG001,ORG001-TNN,2025-06,diesel,585,liter,fuel-ORG001-TNN-2025-06-diesel
ORG001,ORG001-TNN,2025-06,natural_gas,1260,m3,fuel-ORG001-TNN-2025-06-ng
ORG001,ORG001-TNN,2025-07,diesel,600,liter,fuel-ORG001-TNN-2025-07-diesel
ORG001,ORG001-TNN,2025-07,natural_gas,1300,m3,fuel-ORG001-TNN-2025-07-ng
ORG001,ORG001-TNN,2025-08,diesel,595,liter,fuel-ORG001-TNN-2025-08-diesel
ORG001,ORG001-TNN,2025-08,natural_gas,1280,m3,fuel-ORG001-TNN-2025-08-ng
ORG001,ORG001-TNN,2025-09,diesel,575,liter,fuel-ORG001-TNN-2025-09-diesel
ORG001,ORG001-TNN,2025-09,natural_gas,1230,m3,fuel-ORG001-TNN-2025-09-ng
ORG001,ORG001-TNN,2025-10,diesel,555,liter,fuel-ORG001-TNN-2025-10-diesel
ORG001,ORG001-TNN,2025-10,natural_gas,1180,m3,fuel-ORG001-TNN-2025-10-ng
ORG001,ORG001-TNN,2025-11,diesel,540,liter,fuel-ORG001-TNN-2025-11-diesel
ORG001,ORG001-TNN,2025-11,natural_gas,1140,m3,fuel-ORG001-TNN-2025-11-ng
ORG001,ORG001-TNN,2025-12,diesel,525,liter,fuel-ORG001-TNN-2025-12-diesel
ORG001,ORG001-TNN,2025-12,natural_gas,1110,m3,fuel-ORG001-TNN-2025-12-ng
ORG002,ORG002-TXG,2025-01,diesel,700,liter,fuel-ORG002-TXG-2025-01-diesel
ORG002,ORG002-TXG,2025-01,natural_gas,900,m3,fuel-ORG002-TXG-2025-01-ng
ORG002,ORG002-TXG,2025-02,diesel,690,liter,fuel-ORG002-TXG-2025-02-diesel
ORG002,ORG002-TXG,2025-02,natural_gas,880,m3,fuel-ORG002-TXG-2025-02-ng
ORG002,ORG002-TXG,2025-03,diesel,715,liter,fuel-ORG002-TXG-2025-03-diesel
ORG002,ORG002-TXG,2025-03,natural_gas,920,m3,fuel-ORG002-TXG-2025-03-ng
ORG002,ORG002-TXG,2025-04,diesel,735,liter,fuel-ORG002-TXG-2025-04-diesel
ORG002,ORG002-TXG,2025-04,natural_gas,960,m3,fuel-ORG002-TXG-2025-04-ng
ORG002,ORG002-TXG,2025-05,diesel,760,liter,fuel-ORG002-TXG-2025-05-diesel
ORG002,ORG002-TXG,2025-05,natural_gas,1000,m3,fuel-ORG002-TXG-2025-05-ng
ORG002,ORG002-TXG,2025-06,diesel,785,liter,fuel-ORG002-TXG-2025-06-diesel
ORG002,ORG002-TXG,2025-06,natural_gas,1040,m3,fuel-ORG002-TXG-2025-06-ng
ORG002,ORG002-TXG,2025-07,diesel,810,liter,fuel-ORG002-TXG-2025-07-diesel
ORG002,ORG002-TXG,2025-07,natural_gas,1080,m3,fuel-ORG002-TXG-2025-07-ng
ORG002,ORG002-TXG,2025-08,diesel,800,liter,fuel-ORG002-TXG-2025-08-diesel
ORG002,ORG002-TXG,2025-08,natural_gas,1060,m3,fuel-ORG002-TXG-2025-08-ng
ORG002,ORG002-TXG,2025-09,diesel,775,liter,fuel-ORG002-TXG-2025-09-diesel
ORG002,ORG002-TXG,2025-09,natural_gas,1010,m3,fuel-ORG002-TXG-2025-09-ng
ORG002,ORG002-TXG,2025-10,diesel,750,liter,fuel-ORG002-TXG-2025-10-diesel
ORG002,ORG002-TXG,2025-10,natural_gas,980,m3,fuel-ORG002-TXG-2025-10-ng
ORG002,ORG002-TXG,2025-11,diesel,725,liter,fuel-ORG002-TXG-2025-11-diesel
ORG002,ORG002-TXG,2025-11,natural_gas,940,m3,fuel-ORG002-TXG-2025-11-ng
ORG002,ORG002-TXG,2025-12,diesel,710,liter,fuel-ORG002-TXG-2025-12-diesel
ORG002,ORG002-TXG,2025-12,natural_gas,910,m3,fuel-ORG002-TXG-2025-12-ng
ORG003,ORG003-HSZ,2025-01,diesel,600,liter,fuel-ORG003-HSZ-2025-01-diesel
ORG003,ORG003-HSZ,2025-01,natural_gas,2100,m3,fuel-ORG003-HSZ-2025-01-ng
ORG003,ORG003-HSZ,2025-02,diesel,590,liter,fuel-ORG003-HSZ-2025-02-diesel
ORG003,ORG003-HSZ,2025-02,natural_gas,2050,m3,fuel-ORG003-HSZ-2025-02-ng
ORG003,ORG003-HSZ,2025-03,diesel,620,liter,fuel-ORG003-HSZ-2025-03-diesel
ORG003,ORG003-HSZ,2025-03,natural_gas,2160,m3,fuel-ORG003-HSZ-2025-03-ng
ORG003,ORG003-HSZ,2025-04,diesel,640,liter,fuel-ORG003-HSZ-2025-04-diesel
ORG003,ORG003-HSZ,2025-04,natural_gas,2260,m3,fuel-ORG003-HSZ-2025-04-ng
ORG003,ORG003-HSZ,2025-05,diesel,670,liter,fuel-ORG003-HSZ-2025-05-diesel
ORG003,ORG003-HSZ,2025-05,natural_gas,2380,m3,fuel-ORG003-HSZ-2025-05-ng
ORG003,ORG003-HSZ,2025-06,diesel,700,liter,fuel-ORG003-HSZ-2025-06-diesel
ORG003,ORG003-HSZ,2025-06,natural_gas,2500,m3,fuel-ORG003-HSZ-2025-06-ng
ORG003,ORG003-HSZ,2025-07,diesel,730,liter,fuel-ORG003-HSZ-2025-07-diesel
ORG003,ORG003-HSZ,2025-07,natural_gas,2620,m3,fuel-ORG003-HSZ-2025-07-ng
ORG003,ORG003-HSZ,2025-08,diesel,720,liter,fuel-ORG003-HSZ-2025-08-diesel
ORG003,ORG003-HSZ,2025-08,natural_gas,2580,m3,fuel-ORG003-HSZ-2025-08-ng
ORG003,ORG003-HSZ,2025-09,diesel,690,liter,fuel-ORG003-HSZ-2025-09-diesel
ORG003,ORG003-HSZ,2025-09,natural_gas,2450,m3,fuel-ORG003-HSZ-2025-09-ng
ORG003,ORG003-HSZ,2025-10,diesel,660,liter,fuel-ORG003-HSZ-2025-10-diesel
ORG003,ORG003-HSZ,2025-10,natural_gas,2320,m3,fuel-ORG003-HSZ-2025-10-ng
ORG003,ORG003-HSZ,2025-11,diesel,630,liter,fuel-ORG003-HSZ-2025-11-diesel
ORG003,ORG003-HSZ,2025-11,natural_gas,2200,m3,fuel-ORG003-HSZ-2025-11-ng
ORG003,ORG003-HSZ,2025-12,diesel,610,liter,fuel-ORG003-HSZ-2025-12-diesel
ORG003,ORG003-HSZ,2025-12,natural_gas,2140,m3,fuel-ORG003-HSZ-2025-12-ng

